시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년,,시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년
,2024-10-12(토),울산광역시,"103,298","1,221",237,"2,706",9,"88,274",117,"10,734",,,2024-10-22(화),울산광역시,"112,845",700,244,"1,873",1,"94,132",82,"15,813"
,2024-10-13(일),울산광역시,"83,190","1,525",211,"2,275",12,"69,475",121,"9,571",,,2024-10-23(수),울산광역시,"128,449","1,209",318,"2,298",2,"107,734",142,"16,746"
,2024-10-14(월),울산광역시,"121,133",953,265,"2,019",3,"101,864",107,"15,922",,,2024-10-24(목),울산광역시,"127,032",994,313,"2,129",7,"107,142",119,"16,328"
36,2024-10-01(화),세종특별자치시,"22,332",67,46,694,0,"18,756",22,"2,747",,,2024-10-25(금),울산광역시,"139,342","1,113",350,"2,374",2,"116,893",120,"18,490"
,2024-10-02(수),세종특별자치시,"40,902",95,57,644,0,"35,059",28,"5,019",,,2024-10-26(토),울산광역시,"104,882","1,268",220,"2,843",7,"87,968",122,"12,454"
,2024-10-03(목),세종특별자치시,"21,358",57,32,629,0,"17,487",14,"3,139",,,2024-10-27(일),울산광역시,"76,252","1,160",176,"1,854",11,"63,351",113,"9,587"
,2024-10-04(금),세종특별자치시,"39,035",104,66,739,0,"33,497",26,"4,603",,,2024-10-28(월),울산광역시,"120,841","1,210",273,"2,008",5,"101,403",148,"15,794"
,2024-10-05(토),세종특별자치시,"25,531",77,39,691,0,"21,476",18,"3,230",,,2024-10-29(화),울산광역시,"124,435","1,061",316,"2,116",5,"105,178",111,"15,648"
,2024-10-06(일),세종특별자치시,"20,196",65,39,549,0,"16,698",15,"2,830",,,2024-10-30(수),울산광역시,"128,416","1,015",296,"2,282",4,"108,719",134,"15,966"
,2024-10-07(월),세종특별자치시,"37,649",96,60,616,0,"32,552",24,"4,301",,,2024-10-31(목),울산광역시,"126,427","1,032",297,"2,132",3,"107,127",124,"15,712"
,2024-10-08(화),세종특별자치시,"41,014",94,67,624,0,"35,587",24,"4,618",,36,2024-10-17(목),세종특별자치시,"39,349",92,62,597,0,"34,312",26,"4,260"
,2024-10-09(수),세종특별자치시,"25,961",83,45,"1,030",0,"21,101",19,"3,683",,,2024-10-18(금),세종특별자치시,"41,066",99,69,627,0,"35,407",29,"4,835"
,2024-10-10(목),세종특별자치시,"39,450",92,71,620,0,"34,061",30,"4,576",,,2024-10-19(토),세종특별자치시,"27,415",88,43,802,0,"22,713",14,"3,755"
,2024-10-11(금),세종특별자치시,"44,630",118,74,717,0,"37,719",23,"5,979",,,2024-10-20(일),세종특별자치시,"21,338",77,28,668,0,"17,330",17,"3,218"
,2024-10-12(토),세종특별자치시,"31,550",91,42,"1,071",0,"25,605",15,"4,726",,,2024-10-21(월),세종특별자치시,"38,594",86,63,614,0,"33,284",30,"4,517"
,2024-10-13(일),세종특별자치시,"21,926",71,25,647,0,"17,976",17,"3,190",,,2024-10-22(화),세종특별자치시,"38,999",87,54,578,0,"33,472",19,"4,789"
,2024-10-14(월),세종특별자치시,"39,516",96,73,585,0,"34,048",28,"4,686",,,2024-10-23(수),세종특별자치시,"39,440",97,61,680,0,"34,094",28,"4,480"
41,2024-10-01(화),경기도,"1,779,896","205,486","3,095","29,833",346,"1,383,960","28,597","128,579",,,2024-10-24(목),세종특별자치시,"39,425",103,70,602,0,"34,326",29,"4,295"
,2024-10-02(수),경기도,"2,884,831","290,885","4,556","28,411",371,"2,277,878","42,861","239,869",,,2024-10-25(금),세종특별자치시,"42,872",126,77,634,0,"36,987",36,"5,012"
,2024-10-03(목),경기도,"1,773,110","220,670","3,059","34,878",494,"1,354,195","29,889","129,925",,,2024-10-26(토),세종특별자치시,"29,016",76,35,801,0,"23,879",16,"4,209"
,2024-10-04(금),경기도,"2,740,389","296,882","4,625","31,982",509,"2,171,754","42,690","191,947",,,2024-10-27(일),세종특별자치시,"21,752",77,33,670,0,"17,664",11,"3,297"
,2024-10-05(토),경기도,"2,208,807","247,687","3,571","40,021",651,"1,725,229","34,805","156,843",,,2024-10-28(월),세종특별자치시,"38,578",106,52,618,0,"33,540",24,"4,238"
,2024-10-06(일),경기도,"1,586,704","186,920","2,607","24,013",522,"1,228,947","26,414","117,281",,,2024-10-29(화),세종특별자치시,"39,859",87,63,636,0,"34,870",21,"4,182"
,2024-10-07(월),경기도,"2,799,625","291,156","4,665","24,439",382,"2,212,930","42,529","223,524",,,2024-10-30(수),세종특별자치시,"40,037",105,61,667,0,"34,872",25,"4,307"
,2024-10-08(화),경기도,"2,930,093","297,267","4,781","27,398",318,"2,318,283","43,057","238,989",,,2024-10-31(목),세종특별자치시,"40,447",85,76,587,0,"35,491",25,"4,183"
,2024-10-09(수),경기도,"1,777,540","233,101","3,231","34,567",365,"1,349,868","30,856","125,552",,41,2024-10-17(목),경기도,"2,840,475","293,927","4,605","25,343",555,"2,249,888","42,676","223,481"
,2024-10-10(목),경기도,"2,842,869","294,575","4,624","25,204",403,"2,249,156","42,875","226,032",,,2024-10-18(금),경기도,"2,794,659","263,732","4,175","24,409",543,"2,219,805","39,524","242,471"
,2024-10-11(금),경기도,"2,963,334","299,477","4,806","28,792",488,"2,327,498","43,927","258,346",,,2024-10-19(토),경기도,"2,191,634","251,922","3,553","37,365",711,"1,704,309","35,131","158,643"
,2024-10-12(토),경기도,"2,239,349","253,587","3,607","40,315",682,"1,749,655","35,368","156,135",,,2024-10-20(일),경기도,"1,693,563","204,399","2,815","26,694",614,"1,300,136","28,787","130,118"
,2024-10-13(일),경기도,"1,685,525","201,072","2,751","27,645",745,"1,296,937","28,294","128,081",,,2024-10-21(월),경기도,"2,787,580","291,047","4,645","23,616",447,"2,204,252","42,248","221,325"
,2024-10-14(월),경기도,"2,778,394","288,683","4,566","23,778",428,"2,197,217","41,743","221,979",,,2024-10-22(화),경기도,"2,707,717","256,090","4,151","23,109",398,"2,159,958","37,622","226,389"
43,2024-10-01(화),충청북도,"66,585",85,142,863,0,"58,354",59,"7,082",,,2024-10-23(수),경기도,"2,814,961","286,894","4,523","25,332",509,"2,227,844","41,949","227,910"
,2024-10-02(수),충청북도,"108,513",92,223,"1,004",0,"89,987",93,"17,114",,,2024-10-24(목),경기도,"2,836,706","294,802","4,713","24,098",518,"2,249,226","42,826","220,523"
,2024-10-03(목),충청북도,"61,404",72,146,798,0,"53,871",48,"6,469",,,2024-10-25(금),경기도,"2,959,885","307,083","4,830","27,341",615,"2,332,759","44,241","243,016"
,2024-10-04(금),충청북도,"104,228",121,246,898,0,"90,608",125,"12,230",,,2024-10-26(토),경기도,"2,265,179","257,214","3,630","40,305",744,"1,760,693","35,826","166,767"
,2024-10-05(토),충청북도,"78,480",97,168,900,0,"69,733",84,"7,498",,,2024-10-27(일),경기도,"1,712,100","207,931","2,821","26,911",594,"1,312,151","29,103","132,589"
,2024-10-06(일),충청북도,"60,895",70,119,666,0,"53,770",58,"6,212",,,2024-10-28(월),경기도,"2,782,667","292,986","4,654","23,330",435,"2,203,875","42,114","215,273"
,2024-10-07(월),충청북도,"105,072",114,226,980,0,"87,513",96,"16,143",,,2024-10-29(화),경기도,"2,809,229","296,367","4,640","23,813",395,"2,228,407","42,345","213,262"
,2024-10-08(화),충청북도,"108,552",107,248,"1,012",0,"90,104",98,"16,983",,,2024-10-30(수),경기도,"2,838,720","295,702","4,617","25,428",482,"2,246,875","42,828","222,788"
,2024-10-09(수),충청북도,"65,575",81,152,994,0,"57,501",53,"6,794",,,2024-10-31(목),경기도,"2,838,069","290,834","4,664","23,955",546,"2,261,429","42,404","214,237"
,2024-10-10(목),충청북도,"106,694",97,219,944,0,"88,756",110,"16,568",,43,2024-10-17(목),충청북도,"105,023",106,228,952,0,"87,345",96,"16,296"
,2024-10-11(금),충청북도,"114,889",112,243,"1,022",0,"95,301",107,"18,104",,,2024-10-18(금),충청북도,"104,895",85,247,941,0,"86,751",110,"16,761"
,2024-10-12(토),충청북도,"79,992",103,150,957,0,"70,787",94,"7,901",,,2024-10-19(토),충청북도,"75,526",97,148,909,0,"66,574",104,"7,694"
,2024-10-13(일),충청북도,"63,806",79,129,779,0,"55,782",70,"6,967",,,2024-10-20(일),충청북도,"66,064",66,126,731,0,"58,046",66,"7,029"
